slice,name,structure,cation,theoretical m/z_x,theoretical m/z_y,min,max,num_pixels,mz_estimated
55,Cer,36:1,k,604.506541,604.506541,604.5056000000001,604.5083000000001,3178.0,604.5065000000001
55,Cer,40:2,H1,620.5976,620.5976,620.5965,620.5987,24919.0,620.5977
55,Cer,40:1,H1,622.61328,622.61328,622.6121,622.6143000000001,4793.0,622.6132
56,LPC,16:0,H1,496.33975,496.33975,496.3385,496.3409,74758.0,496.3399
56,Cer,36:1,k,604.506541,604.506541,604.5054,604.5078,5809.0,604.5067
56,Cer,40:2,H1,620.5976,620.5976,620.5964,620.5988,33885.0,620.5977
56,Cer,40:1,H1,622.61328,622.61328,622.6119,622.6145,9990.0,622.6132
57,LPC,16:0,H1,496.33975,496.33975,496.3387,496.3409,82040.0,496.3398
57,Cer,36:1,k,604.506541,604.506541,604.5056000000001,604.5078,2585.0,604.5068
57,Cer,40:2,H1,620.5976,620.5976,620.5965,620.5988,34987.0,620.5977
57,Cer,40:1,H1,622.61328,622.61328,622.6120000000001,622.6144,7340.0,622.6132
57,Cer,38:4,k,626.490911,626.490911,626.4903,626.4914,290.0,626.4907000000001
58,LPC,16:0,H1,496.33975,496.33975,496.3388000000001,496.3409,67907.0,496.3398
58,Cer,36:1,k,604.506541,604.506541,604.5055,604.5083000000001,4430.0,604.5067
58,Cer,40:2,H1,620.5976,620.5976,620.5966000000001,620.5988,32596.0,620.5977
58,Cer,40:1,H1,622.61328,622.61328,622.6121,622.6145,7220.0,622.6134000000001
58,Cer,38:4,k,626.490911,626.490911,626.4905,626.4913,188.0,626.4909
59,LPC,16:0,H1,496.33975,496.33975,496.3386,496.3408,72846.0,496.3397000000001
59,Cer,36:1,k,604.506541,604.506541,604.5054,604.5078,3668.0,604.5065000000001
59,Cer,40:2,H1,620.5976,620.5976,620.5966000000001,620.5989000000001,29220.0,620.5977
59,Cer,40:1,H1,622.61328,622.61328,622.6122,622.6143000000001,3531.0,622.6134000000001
59,Cer,38:4,k,626.490911,626.490911,626.4903,626.4915,361.0,626.4907000000001
60,LPC,16:0,H1,496.33975,496.33975,496.3383,496.3408,58109.0,496.3395
60,Cer,36:1,k,604.506541,604.506541,604.505,604.5077,5400.0,604.5062
60,Cer,40:2,H1,620.5976,620.5976,620.5961,620.5988,35864.0,620.5975000000001
60,Cer,40:1,H1,622.61328,622.61328,622.6116000000001,622.6145,16697.0,622.613
60,Cer,38:4,k,626.490911,626.490911,626.4905,626.4909,66.0,626.4907000000001
61,LPC,16:0,H1,496.33975,496.33975,496.3387,496.3408,62934.0,496.3398
61,Cer,36:1,k,604.506541,604.506541,604.5057,604.5077,1248.0,604.5065000000001
61,Cer,40:2,H1,620.5976,620.5976,620.5965,620.5988,19070.0,620.5977
61,Cer,40:1,H1,622.61328,622.61328,622.6122,622.6143000000001,2574.0,622.6132
62,LPC,16:0,H1,496.33975,496.33975,496.3386,496.3409,52605.0,496.3397000000001
62,Cer,36:1,k,604.506541,604.506541,604.5055,604.5073,824.0,604.5064
62,Cer,40:2,H1,620.5976,620.5976,620.5962000000001,620.5986,23850.0,620.5974
62,Cer,40:1,H1,622.61328,622.61328,622.6117,622.6141,5133.0,622.613
63,LPC,16:0,H1,496.33975,496.33975,496.3386,496.3409,52207.0,496.3399
63,Cer,36:1,k,604.506541,604.506541,604.5056000000001,604.508,1334.0,604.5067
63,Cer,40:2,H1,620.5976,620.5976,620.5964,620.5989000000001,18677.0,620.5977
63,Cer,40:1,H1,622.61328,622.61328,622.6121,622.6143000000001,3443.0,622.6132
64,LPC,16:0,H1,496.33975,496.33975,496.3386,496.3408,42751.0,496.3397000000001
64,Cer,36:1,k,604.506541,604.506541,604.5058,604.5075,721.0,604.5067
64,Cer,40:2,H1,620.5976,620.5976,620.5965,620.5988,15394.0,620.5977
64,Cer,40:1,H1,622.61328,622.61328,622.6122,622.6143000000001,2487.0,622.6134000000001
